job_id,job_title,domain,role_category,experience_level,skills_required,job_description,location,salary_range
74,GraphQL Backend Developer,Software,Backend,Mid,"Node.js,GraphQL,PostgreSQL,TypeScript,Apollo",Build GraphQL APIs for modern applications. Implement resolvers and data loaders. Optimize query performance and caching.,Bangalore,10-16 LPA
75,Wireless Systems Engineer,Hardware,Embedded Systems,Mid,"WiFi,Bluetooth,Zigbee,RF Testing,C",Design wireless communication modules for IoT devices. Implement protocol stacks and drivers. Test wireless performance and range.,Chennai,9-15 LPA
76,Vue.js Full Stack Developer,Software,Full Stack,Entry,"Vue.js,Node.js,MySQL,Express,AWS",Develop full-stack applications using Vue ecosystem. Implement server-side rendering and routing. Deploy to cloud platforms.,Hyderabad,4-6 LPA
77,Test Automation Engineer,Hardware,PCB Design,Entry,"Python,LabVIEW,GPIB,Automated Testing,Scripting",Develop automated test frameworks for hardware. Create test scripts and data analysis tools. Maintain test equipment and fixtures.,Bangalore,4-6 LPA
78,Stream Processing Engineer,Software,Data Engineer,Mid,"Kafka,Flink,Scala,Event Streaming,Microservices",Build real-time data processing pipelines. Implement stream processing applications. Ensure exactly-once processing guarantees.,Noida,12-18 LPA
79,Camera Module Engineer,Hardware,Embedded Systems,Entry,"ISP,Camera Drivers,MIPI CSI,Image Quality,C++",Develop camera drivers and image processing pipelines. Tune image quality parameters. Debug camera initialization and streaming.,Pune,4-6 LPA
80,Laravel Developer,Software,Backend,Senior,"PHP,Laravel,MySQL,Redis,REST API",Develop web applications using Laravel framework. Implement MVC architecture and migrations. Create RESTful APIs and authentication.,Bangalore,7-13 LPA
81,Clock Design Engineer,Hardware,VLSI,Senior,"Clock Tree Synthesis,Timing Analysis,CTS,Innovus,Skew",Design and optimize clock distribution networks. Analyze clock skew and jitter. Implement clock gating for power savings.,Chennai,10-16 LPA
82,Azure DevOps Engineer,Software,DevOps,Mid,"Azure,Azure DevOps,PowerShell,ARM Templates,Kubernetes",Manage Azure cloud infrastructure and pipelines. Implement CI/CD using Azure DevOps. Automate resource provisioning.,Hyderabad,11-17 LPA
83,Charging System Engineer,Hardware,Electrical Systems,Senior,"Battery Charging,Power Converters,Standards,Embedded C,Testing",Design charging systems for electric vehicles. Implement charging protocols and safety features. Test compatibility with charging standards.,Bangalore,10-16 LPA
84,Ruby on Rails Developer,Software,Backend,Senior,"Ruby,Rails,PostgreSQL,Sidekiq,REST",Build web applications using Rails framework. Implement background job processing. Optimize database queries and caching.,Noida,8-14 LPA
85,Layout Design Engineer,Hardware,VLSI,Entry,"Calibre,Virtuoso,DRC,LVS,Custom Layout",Perform custom IC layout for analog blocks. Verify DRC and LVS compliance. Optimize area and parasitics.,Pune,4-6 LPA
86,TypeScript Backend Developer,Software,Backend,Entry,"TypeScript,Node.js,NestJS,PostgreSQL,Docker",Develop strongly-typed backend services. Implement dependency injection and modules. Write comprehensive unit tests.,Bangalore,4-6 LPA
87,LED Driver Design Engineer,Hardware,PCB Design,Entry,"LED Drivers,Buck Converter,Dimming,Thermal,Altium",Design LED driver circuits for lighting applications. Implement PWM dimming and thermal management. Test driver efficiency and flicker.,Chennai,4-6 LPA
88,API Developer,Software,Backend,Mid,"Python,FastAPI,Swagger,PostgreSQL,JWT",Design and implement RESTful API services. Document APIs using Swagger/OpenAPI. Implement security and rate limiting.,Hyderabad,8-14 LPA
89,Signal Integrity Engineer,Hardware,PCB Design,Entry,"Signal Integrity,High-Speed Design,HyperLynx,DDR,PCIe",Analyze signal integrity for high-speed interfaces. Perform pre-layout and post-layout simulations. Recommend design guidelines for layouts.,Bangalore,4-6 LPA
90,Data Pipeline Developer,Software,Data Engineer,Mid,"Python,Luigi,MySQL,AWS S3,Pandas",Develop data ingestion and transformation pipelines. Schedule and monitor pipeline executions. Handle data quality and error handling.,Noida,9-15 LPA
91,Touch Controller Engineer,Hardware,Firmware Engineer,Mid,"Capacitive Touch,I2C,Signal Processing,C,Tuning",Develop firmware for touch controller ICs. Implement noise filtering and gesture recognition. Tune sensitivity for different applications.,Pune,8-14 LPA
92,ASP.NET Developer,Software,Backend,Senior,"C#,ASP.NET Core,SQL Server,Entity Framework,REST",Build web APIs using ASP.NET framework. Implement authentication and authorization. Optimize database access patterns.,Bangalore,8-14 LPA
93,Verification IP Developer,Hardware,VLSI,Entry,"SystemVerilog,UVM,VIP,Protocols,Python",Develop verification IP for standard protocols. Create configurable and reusable VIP components. Document VIP usage and features.,Chennai,4-6 LPA
94,Microservices Developer,Software,Backend,Mid,"Java,Spring Cloud,Kafka,Docker,MySQL",Design and develop microservices architecture. Implement service discovery and config management. Handle distributed transactions.,Hyderabad,10-16 LPA
95,Thermal Design Engineer,Hardware,Electrical Systems,Mid,"Thermal Analysis,CFD,Heat Sinks,ANSYS,Testing",Perform thermal analysis for electronic systems. Design cooling solutions and heat sinks. Validate thermal performance through testing.,Bangalore,9-15 LPA
96,Next.js Developer,Software,Frontend,Senior,"Next.js,React,TypeScript,Vercel,Tailwind CSS",Build server-side rendered React applications. Implement static site generation and ISR. Optimize SEO and performance metrics.,Noida,9-15 LPA
97,Analog Verification Engineer,Hardware,VLSI,Senior,"Spectre,HSPICE,Monte Carlo,Cadence,Python",Verify analog circuits through simulation. Perform corner and Monte Carlo analysis. Create regression frameworks for analog blocks.,Pune,10-16 LPA
98,MongoDB Developer,Software,Backend,Entry,"MongoDB,Node.js,Express,Mongoose,REST",Design NoSQL database schemas for applications. Implement aggregation pipelines and indexing. Optimize query performance.,Bangalore,4-6 LPA
99,USB Protocol Engineer,Hardware,Firmware Engineer,Entry,"USB,USB-C,PD,Type-C,Embedded C",Develop USB device and host controllers. Implement USB power delivery protocols. Debug enumeration and data transfer issues.,Chennai,6-12 LPA
100,CI/CD Engineer,Software,DevOps,Entry,"Jenkins,GitLab,Docker,Kubernetes,Python",Design and maintain CI/CD pipelines. Implement automated testing and deployment. Optimize build times and artifact management.,Hyderabad,4-6 LPA
101,Impedance Matching Engineer,Hardware,PCB Design,Entry,"RF Design,Smith Chart,Matching Networks,ADS,Testing",Design impedance matching circuits for RF systems. Optimize power transfer and minimize reflections. Validate matching network performance.,Bangalore,6-12 LPA
102,Golang Developer,Software,Backend,Senior,"Go,PostgreSQL,gRPC,Docker,Microservices",Build concurrent backend services in Go. Implement efficient data structures and algorithms. Deploy containerized applications.,Noida,10-16 LPA
103,ASIC Design Engineer,Hardware,VLSI,Mid,"Verilog,RTL Design,Synthesis,Timing,Verification",Design digital blocks for ASIC development. Write synthesizable RTL code. Collaborate with verification team for coverage.,Pune,10-16 LPA
104,Serverless Developer,Software,Backend,Entry,"AWS Lambda,DynamoDB,API Gateway,Python,Serverless Framework",Build serverless applications on AWS platform. Implement event-driven architectures. Optimize cold start and execution time.,Bangalore,4-6 LPA
105,Accelerometer Integration Engineer,Hardware,Embedded Systems,Entry,"MEMS,Accelerometer,I2C,SPI,Embedded C",Integrate MEMS accelerometers in wearable devices. Calibrate sensors and process motion data. Implement fall detection algorithms.,Chennai,4-6 LPA
106,WordPress Developer,Software,Backend,Entry,"PHP,WordPress,MySQL,JavaScript,CSS",Develop custom WordPress themes and plugins. Optimize website performance and security. Integrate third-party APIs and payment gateways.,Hyderabad,4-6 LPA
107,RTL Design Engineer,Hardware,VLSI,Entry,"Verilog,VHDL,Finite State Machines,Synthesis,Simulation",Design and code RTL for digital circuits. Implement complex state machines and datapaths. Perform lint checks and synthesis.,Bangalore,6-12 LPA
108,ETL Architect,Software,Data Engineer,Senior,"Informatica,SQL,Data Modeling,ETL,Oracle",Architect enterprise data integration solutions. Design dimensional models for data warehouses. Lead ETL development teams.,Noida,14-20 LPA
109,Automotive Electronics Engineer,Hardware,Embedded Systems,Entry,"AUTOSAR,CAN,LIN,MISRA C,Vector Tools",Develop automotive ECU software and firmware. Implement CAN communication and diagnostics. Follow functional safety standards.,Pune,4-6 LPA
110,Express.js Developer,Software,Backend,Mid,"Node.js,Express,MongoDB,JWT,REST",Build RESTful APIs using Express framework. Implement middleware and error handling. Integrate authentication and session management.,Bangalore,7-13 LPA
111,Power Integrity Engineer,Hardware,PCB Design,Mid,"Power Integrity,PDN,Decoupling,ANSYS,Measurements",Analyze power distribution networks for boards. Design decoupling strategies for ICs. Validate power integrity through measurements.,Chennai,10-16 LPA
112,Platform Engineer,Software,DevOps,Entry,"Kubernetes,Terraform,AWS,Python,GitOps",Build internal developer platforms. Implement self-service infrastructure provisioning. Establish platform engineering best practices.,Hyderabad,4-6 LPA
113,Electronic Packaging Engineer,Hardware,PCB Design,Mid,"Package Design,Thermal,Stress Analysis,JEDEC,Reliability",Design IC packages and module assemblies. Perform thermal and mechanical simulations. Validate package reliability.,Bangalore,9-15 LPA
114,Shopify Developer,Software,Backend,Mid,"Shopify,Liquid,JavaScript,API,Apps",Develop custom Shopify themes and applications. Integrate payment gateways and shipping APIs. Optimize e-commerce store performance.,Noida,6-11 LPA
115,Clock Gating Implementation Engineer,Hardware,VLSI,Entry,"Clock Gating,Low Power,Liberty,Innovus,Timing",Implement clock gating for power reduction. Analyze switching activity and insertion points. Verify timing after clock gating.,Pune,4-6 LPA
116,Nest.js Developer,Software,Backend,Senior,"NestJS,TypeScript,PostgreSQL,GraphQL,Microservices",Build enterprise backend applications with NestJS. Implement modular architecture and dependency injection. Create GraphQL resolvers and services.,Bangalore,10-16 LPA
117,Switch Mode Power Supply Engineer,Hardware,Electrical Systems,Mid,"SMPS,PWM,Feedback Control,Magnetics,LTSpice",Design flyback and forward converter topologies. Select magnetics and perform loss analysis. Test EMI and efficiency.,Chennai,9-15 LPA
118,Blockchain Developer,Software,Backend,Mid,"Solidity,Ethereum,Web3.js,Smart Contracts,Node.js",Develop smart contracts for blockchain applications. Implement DeFi protocols and NFT platforms. Audit and optimize contract gas costs.,Hyderabad,12-18 LPA
119,Communication Protocol Engineer,Hardware,Firmware Engineer,Mid,"Ethernet,TCP/IP,MQTT,Modbus,Embedded C",Implement communication protocols for industrial devices. Debug network connectivity issues. Optimize throughput and latency.,Bangalore,9-15 LPA
120,Site Automation Engineer,Software,DevOps,Senior,"Python,Selenium,Bash,Linux,Monitoring",Automate operational tasks and runbooks. Develop self-healing scripts for common failures. Monitor and alert on system health.,Noida,9-15 LPA
121,Semiconductor Process Engineer,Hardware,VLSI,Senior,"Process Technology,Yield Analysis,Failure Analysis,Statistics,Cleanroom",Optimize semiconductor fabrication processes. Analyze yield data and defect patterns. Collaborate with design team for DFM.,Pune,11-17 LPA
122,Flask Developer,Software,Backend,Entry,"Python,Flask,SQLAlchemy,PostgreSQL,REST",Build lightweight web applications using Flask. Implement blueprints and extensions. Create API endpoints and templates.,Bangalore,4-6 LPA
123,Gyroscope Integration Engineer,Hardware,Embedded Systems,Senior,"Gyroscope,IMU,Sensor Fusion,I2C,Embedded C",Integrate gyroscopes for motion tracking applications. Implement orientation estimation algorithms. Calibrate and compensate for drift.,Chennai,8-14 LPA
124,AWS Solutions Architect,Software,DevOps,Senior,"AWS,CloudFormation,Lambda,RDS,Networking",Design cloud architecture for enterprise workloads. Implement high availability and disaster recovery. Optimize costs and performance.,Hyderabad,14-20 LPA
125,Inductor Design Engineer,Hardware,PCB Design,Entry,"Magnetics,Inductor Design,Core Selection,FEA,Testing",Design custom inductors for power converters. Select core materials and winding configurations. Measure inductance and saturation.,Bangalore,4-6 LPA
